
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
2123, "Tweet from the President", "", ".@KimJongUn98 and I had a GREAT time talking about denuclearizing, PEACE, and exchanging barber's contacts.", "", "", "", "", "", ""
2124, "Tweet from the President", "", ".@RocketMan has promised to never give America up, let us down, or desert us. Why doesn't the fake news report on this HISTORIC achievement?", "", "", "", "", "", ""
2125, "Tweet from the President", "", "Why does MSM cover Cohen who did nothing wrong, but ignore SOCIALIST @GeorgeGeczy? #FAKENEWS is our country's biggest enemy!", "", "", "", "", "", ""
2126, "Tweet from the President", "", "Dumb Dylan is a biased dope who gives false information. As usual, we keep going. Castellani won't let you down! #Election2018", "", "", "", "", "", ""
2127, "Tweet from the President", "", "Fact – Germany are VERY weak on immigration!", "", "", "", "", "", ""
2128, "Tweet from the President", "", "@BradLeDonne Thanks for the apple fritter! ", "", "", "", "", "", ""
2129, "Tweet from the President", "", "GREAT meeting with new security advisor Chuck Norris. Time to put that roundhouse to good use!", "", "", "", "", "", ""
213, "World Market Compliance", "", "As a result of signing the World Market ban on Land Mines, we agree not to deploy any more mines.  This does not require us to remove any existing fields within our borders.", "", "", "Acknowledge", "", "", ""
2130, "Tweet from the President", "", "The five Taliban prisoners in exchange for Sgt. Bowe Bergdahl. Wait and see!", "", "", "", "", "", ""
2131, "Tweet from the President", "", "I hope the boycott of @TimHortons continues forever. So many people are cutting up their Timcards. TimBits suck and they are bad for U.S.A", "", "", "", "", "", ""
2132, "Tweet from the President", "", "Canadian Crazy @ChrisLatour doesn't know business like @kevinolearytv. Canada needs a REAL leader!", "", "", "", "", "", ""
2133, "Tweet from the President", "", "Everyone is now saying how right I was with Zombies & the Canadian wall. After Average Gamer's creation, they’re all on the bandwagon!", "", "", "", "", "", ""
2134, "Tweet from the President", "", "Entrepreneurs are the future!", "", "", "", "", "", ""
2135, "Tweet from the President", "", "The Ukrainian government should not complain about what the people want!", "", "", "", "", "", ""
2136, "Tweet from the President", "", "Those accusing my GOOD friend Sean are friends of #FAKENEWS. FAILING New York Times is grasping for straws.", "", "", "", "", "", ""
2137, "Tweet from the President", "", "Washed-up @ErigornYT claims I am not delivering on promises, but where are his regular uploads? STILL WAITING!.", "", "", "", "", "", ""
2138, "Tweet from the President", "", "Why does Andorra have such lousy princes? BAD foreign policy, they're BORING!! That's true!", "", "", "", "", "", ""
2139, "Tweet from the President", "", "There's a silent majority of people that have been silenced for too long, #TRUMP2020", "", "", "", "", "", ""
214, "World Market Compliance", "WMD Research Banned", "As a result of signing the World Market ban on Weapons of Mass Destruction Research, our Research Project List will immediately be modified.", "", "", "Acknowledge", "", "", ""
2140, "Tweet from the President", "", "Just got off the phone with China. Pushing for the design that pays off. There's nothing wrong with being successful - Think BIG!", "", "", "", "", "", ""
2141, "Tweet from the President", "", "'Leaders create leaders' Well-said Kanye!", "", "", "", "", "", ""
2142, "Tweet from the President", "", "I wonder what the rest of the dumb & useless Finland hope for when they expect us to protect them? Pay us or no deal!..", "", "", "", "", "", ""
2143, "Tweet from the President", "", "Washed up actor Adam Sandler says he 'doesn't like me' but when has anyone ever liked his movies? BAD ACTOR", "", "", "", "", "", ""
2144, "Tweet from the President", "", "LYING @CNN says DeFranco Polls better, but we know MSM LIES! Look at @FoxNews polls show us 7 points HIGHER! #TRUMP2020", "", "", "", "", "", ""
2145, "Pusan", "Capture Pusan", "In order to achieve victory and once again unite our country we must push the United States out before they can land significant reinforcements.  Military analysts indicate that if we can capture Pusan by September 30th that should all but guarantee success!", "", "", "", "", "", ""
2146, "A new German Invasion", "", "We are going to be on our own for six months and if we are not able to hold Warsaw, the country will fall.  We must deploy all available troops and defend our border immediately.  Tactical Suggestion:  If the opportunity arises we should try to disrupt German supply lines.  That could delay their advance and give us the time we need to better fortify our defenses.", "", "", "", "", "", ""
2147, "Tweet from the President", "", "To Iranian President Rouhani: NEVER, EVER THREATEN THE UNITED STATES AGAIN OR YOU WILL SUFFER CONSEQUENCES THE LIKES OF WHICH FEW THROUGHOUT HISTORY HAVE EVER SUFFERED BEFORE. WE ARE NO LONGER A COUNTRY THAT WILL STAND FOR YOUR DEMENTED WORDS OF VIOLENCE & DEATH. BE CAUTIOUS!", "", "", "", "", "", ""
2148, "Increase Research Capacity", "Research Capacity of five or more", "If we are going to ramp up development quickly, we will need the research centers to support it. Increase our research capacity!", "", "", "", "", "", ""
2149, "Tweet from the President", "", "Rouhani has been losing the support of his people for YEARS. Even powerful negotiation skills to protest insane Iran nuke can't help WHEN DEALING WITH A MONSTER. IT IS TIME FOR AMERICA TO ACT. DO NOT CROSS AMERICA. NO OPTIONS LEFT. IT IS TIME FOR WAR!!", "", "", "", "", "", ""
215, "World Market Compliance", "Biological Weapon Research Banned", "As a result of signing the World Market ban on Chemical Weapon Research, our Research Project List will immediately be modified.", "", "", "Acknowledge", "", "", ""
2150, "US Leaves NATO", "The United States has left NATO! ", "President Donald Trump has made the order for the United States to withdraw from NATO. This strikes a huge blow to world peace, and the remaining NATO nations are soured from the fallout. ", "", "", "", "", "", ""
2151, "Kurdistan Declares War", "Kurdistan Declares War!", "Due to rising tensions between the nations, Kurdistan has declared war against Turkey!", "", "", "", "", "", ""
2152, "Turkey Leaves NATO", "Turkey Leaves NATO!", "Due to increasing friendly relations with Russia, Turkey has backed out of NATO and joined the Collective Security Treaty Organization. This strikes a blow to world peace!", "", "", "", "", "", ""
2153, "Warning of US/Iran conflict", "Heightening Tensions!", "Donald Trump has warned against the dealings of Iran and appears to be getting quite serious. Both countries have become very hostile. They are on the brink of war. ", "", "", "", "", "", ""
2154, "Join The Allies", "Germany Invades Poland", "The German campaign was a masterpiece. Nothing quite like it has been seen in military history. Despite Poland's poor leadership and outside assistance the invasion proves the skill of the German armed forces. The country has been divided between Germany and the Soviet Union. This cannot stand, the Allies need your help.", "", "", "", "", "", ""
2155, "Join The Allies", "Japan Attacks Pearl Harbour", "The attack on Pearl Harbour has been a shock to all the Allies in the Pacific Theater. Further losses compound this alarming setback. Japan cannot be allowed to continue with their plans of expansion, the Allies need your help.", "", "", "", "", "", ""
2156, "Join The Allies", "Germany Invades France", "France has fallen, the German war machine needs to be stopped. Left unchecked German ambition will see the rest of Europe under German rule. The Allies need your help.", "", "", "", "", "", ""
2157, "Political Prisoner Repatriated", "", "Today, a citizen of US was returned home. They had been held for some time by the government of North Korea.", "", "", "", "", "", ""
2158, "Jerusalem Recognized as Israel's Capital", "", "The US has officially recognized Jerusalem as Israel's capital. Several other countries are expected to do the same within the next few days.  ", "", "", "", "", "", ""
